Temperature (°C),RPM,Torque (Nm),Vibrations (mm/s),Power Output (MW),Fuel Flow Rate (kg/s),Air Pressure (kPa),Exhaust Gas Temperature (°C),Oil Temperature (°C),Fault,Fault Mode,TTC,Turbine ID
999.937391218725,15187.368841282823,3806.5148280307744,2.7526383415005924,8671.641703967345,2.486196002299525,57.93071403508061,628.3868212807599,113.8406883233246,1.0,2,72,310
832.3687799442928,14472.168183504136,3698.070470588656,3.4762150161864627,8027.864670721397,3.7185683582480777,144.3736461495484,520.8559064179502,139.82374570537553,1.0,1,83,788
850.578588757117,14624.211735848863,3322.60577852227,1.145251357213722,7288.5735629796945,4.06008218809675,159.39905933687103,521.2941861807373,116.12929799783808,1.0,3,72,690
903.9399788005034,15451.94012338238,3700.077490467842,5.730510206015659,8576.006375187602,2.6935286524774265,136.44424731495772,519.6329584031414,138.7497049707667,1.0,1,93,409
847.3015888847016,16288.406107454031,3575.1080423896,2.901171581097723,8734.921750870017,3.7841664949545137,159.79914878964368,516.6805421179645,132.196249716379,1.0,1,85,424
929.484015832186,15836.136360985023,3838.950253830202,1.9380814144104663,9119.12095540397,3.683806633026754,159.2680062992802,524.2348480768419,118.49269057072382,1.0,3,86,488
858.7250667207343,14590.04498980287,3604.0379811050784,2.97412747422466,7887.461443392208,4.284646026696256,162.17369263244586,491.73098074216944,116.78169181865476,1.0,3,70,649
1210.8029691480992,16027.450912702188,3200.979027924568,1.8655073214734308,7695.530136397526,3.848461830918435,-117.43417624891543,772.4601255602189,126.0166408820307,1.0,2,95,341
962.3579511426,15832.224387160815,3684.5458372936073,1.883885904261608,8750.183469121755,1.2825438357831072,124.43350290117208,517.0747519732026,125.85103236198182,1.0,3,75,11
958.1259943426194,15355.660756428902,3587.0633213464366,1.6403333724721696,8262.259121163748,3.11939709507778,38.04949849042758,595.6243009651571,112.96804818067916,1.0,2,70,616
1203.1701379602682,14202.442356920204,3648.7585811496974,0.2309272517344762,7773.192513464478,3.7425233443779096,-116.91329807538398,751.1744801004562,120.53102678129386,1.0,2,93,808
797.5353558586894,15551.700392689629,3315.541803851113,2.834550515776308,7734.3469159395345,1.931085540725312,158.98555176425847,538.3587090906927,122.22333343912554,1.0,3,71,163
857.921284017502,15537.10711493878,3346.826614173565,2.051486615613925,7800.000539931382,2.7074325175108465,164.9299663000817,554.5832809960684,135.7701738459576,1.0,3,71,295
881.9232735199458,15092.468778870583,3364.2213331151606,4.543871952390938,7616.16081528764,2.162663735976581,142.7592512759649,517.528707580494,143.19419869068204,1.0,1,93,505
1145.2753826287772,14061.60698238196,3610.844650569226,2.611505350141965,7616.141752611115,2.1679902156535724,-70.59126364213017,731.0801030301844,133.31628971145,1.0,2,91,167
816.9701546267905,14684.062239712555,3292.7577186294525,2.855732903672509,7252.658892097319,2.7706371317755183,153.82590633927703,466.45967103963096,160.1974449410311,1.0,1,96,361
878.4002944500107,14839.3650953525,3563.3234604874906,1.1988168908779882,7931.618667451312,3.5761024166020623,142.90722023389435,499.60333926758113,149.63947672243216,1.0,1,84,876
1235.3896865910165,14372.679345335768,3400.503755860542,0.91772325750574,7331.152514339026,4.600977317269603,-126.45036948881553,713.4222194480687,132.6786472440922,1.0,2,94,634
916.1464085107708,14633.95290441053,3576.9331026643786,1.7219300526972452,7851.700584992632,3.65598759878914,163.39170584636915,494.0712167374773,131.06752449591144,1.0,3,86,180
986.4925631863356,14569.171359437252,3444.679690991147,1.28730912827933,7527.919304463507,4.638887026349195,157.9244207553344,462.6988293878649,116.73591076116504,1.0,3,70,126
1258.5015760711008,15660.111668401836,3523.652233693873,3.007524409399627,8277.118119038942,1.9952935868081287,-194.54820276672643,833.0950868609068,123.20086962771148,1.0,2,98,202
1095.9229844864349,15655.286163684432,3451.707784092007,1.6244204999983758,8105.620967006615,1.7405928310165577,57.00208359846633,572.8348419706413,114.69199156294854,1.0,2,74,672
875.761270029631,15931.610784973547,3617.853012198524,4.315120951471336,8645.733910138655,1.964173831207656,152.49212887629582,505.3840340715765,142.77576721873945,1.0,1,92,535
1199.2812724103123,15686.394356747494,3519.5133725746014,0.9868268914225408,8281.271205907735,3.813328911124341,-116.7742898677686,716.3989408391049,97.50613925924654,1.0,2,91,261
1182.306383063475,14909.112737083507,3711.529125292988,3.955054732219194,8300.340923394313,0.5946871490110899,-186.7444452029337,839.6161783458685,115.64203528322558,1.0,2,96,262
908.877729310039,14983.354916828492,3383.3101156787907,1.574688021853614,7604.000438536706,3.273805503244838,146.90292059030756,503.8662403146408,137.1424810303182,1.0,3,76,54
870.0881601066109,15233.756720591242,3475.991952359336,1.1026692528815647,7942.8623647462655,5.142812355840265,140.90126064616896,499.7125518153882,126.84929734314434,1.0,3,70,531
969.9633976112508,15304.300489050278,3785.0629572479065,1.318949530370638,8689.161130154283,0.672218734377183,141.40584391593424,506.3284989209243,118.41249522010968,1.0,3,85,370
1025.090475881772,14574.70847249216,3573.3980425966533,-0.947016331993166,7812.185209053051,4.115291788753137,121.7476265025561,546.1738972877399,125.57373786922726,1.0,3,96,289
944.859303309154,15350.579993638772,3477.7972165089127,2.928884041972306,8007.930656051149,3.727259112573567,181.43265072093087,576.0371429699223,120.02670721550498,1.0,3,88,199
971.6368442276388,14705.728150654104,3561.7404570174663,1.226788194456134,7856.698035612804,4.569574382324959,165.19613500456555,563.8987179481746,131.70449019771473,1.0,3,98,973
896.2144530694512,15354.69970460026,3096.0091099379083,3.037200149652003,7130.743524870496,2.5395122667779035,158.5776507149952,546.6792162742329,100.57030471487106,1.0,3,82,68
1019.4045381764348,15926.448141138417,3650.752855329746,0.3271770910579381,8721.528903978327,2.3450869398357432,68.96879610338435,618.0143485904363,117.6523226306103,1.0,2,71,975
933.8671388385734,15626.733006030652,3559.4497643984405,2.5061044695842694,8343.38566749497,3.255242927518319,170.4568668162034,493.9572886134764,133.2368347078574,1.0,3,78,21
1029.19448098431,15327.16592787163,3763.198527126416,2.4914300121792845,8651.875236718304,5.160360703426889,142.50498602985806,574.5225543050741,106.939050772471,1.0,3,97,743
1019.1369380194692,15360.044871408832,3343.973588216983,0.6897531930461389,7704.537654572829,2.446042115716832,68.95710801175981,597.9589573746957,111.22902030575786,1.0,2,77,326
953.5857173135436,14488.076004007644,3367.778966761841,2.148417965200858,7318.895645271582,3.1832528996086653,164.01910734757757,519.1846593025884,118.10168729017826,1.0,3,84,21
914.9301193169914,14435.32668985078,4049.962687937601,0.6633586067072041,8769.380172312816,4.149511855220725,169.3001362823902,555.7798609863817,121.26056815329166,1.0,3,93,163
946.2688823291644,14893.208135012048,3968.910778368632,2.3424803835306265,8866.472143730505,4.748027637327172,165.94067204951904,496.90163685656194,116.06733980510604,1.0,3,86,405
1354.214478610178,15133.056947112102,3954.665550699561,2.5641332234570813,8976.926847827834,1.5509444988808354,-165.37186830935352,834.657964654522,132.7555420340153,1.0,2,97,691
902.475592523074,15648.156230122511,3054.964898109342,4.592349941138719,7170.685200473292,1.6592064102424384,147.90364469111682,487.0654256444056,129.09077640782195,1.0,1,78,290
1138.5775606394875,14109.180369992371,3589.704885796492,2.90248265215477,7597.169056311835,2.582486398410172,79.51717443764296,585.3004015704431,124.74674843668846,1.0,2,74,561
940.0967023678857,15943.438906143188,3495.9484306421127,2.0868599502891416,8360.61603344545,5.0497840607180615,169.29368292517864,531.2707822966304,120.10398325085768,1.0,3,96,781
922.4816687156645,15059.81981138424,3074.765306661222,6.136170518451552,6945.81172209204,4.348925288840771,180.5462392594883,478.4792154796448,123.9856859739562,1.0,1,94,774
983.67257061473,15620.051238307731,3369.3623822189,5.469965005801425,7894.441957602869,2.09866070248572,142.61497104906073,470.7921452020205,134.97248035421077,1.0,1,88,264
909.3308373814835,14187.937616955172,3516.5629217758988,0.4425165940321334,7483.916304038109,5.490163314606662,170.24505951568997,508.3451870599311,122.74431618943755,1.0,3,78,443
941.7502423780766,13887.876542703723,3165.627416461746,1.945110981591356,6594.576411002831,4.189638622837959,137.22379296557395,505.21305236503486,121.07649257507444,1.0,3,70,599
1005.881725850671,14421.277714906935,3504.9708386322563,2.00359456331619,7581.923676984904,6.053495062315648,113.81388242338308,579.4060261558345,140.91958673577557,1.0,3,98,732
1266.134765531433,14867.527232465894,3393.169318078932,3.618725175347393,7567.205586135937,1.094557180361731,-145.45520914835924,761.58853649722,126.73397241499508,1.0,2,95,326
962.5320689377008,14969.916600632598,3677.413159804433,2.304450516554536,8257.585246251174,2.5525576700621104,56.02281676721566,602.5998632064473,131.88113823579562,1.0,2,72,679
943.6110816730092,15204.849971577116,3200.313081171664,0.8589893632391555,7299.042039193627,1.8812284575198108,128.40390769976634,564.7899832179396,111.25080109968496,1.0,3,75,113
1048.018110185674,14911.774351566895,3636.123838297648,3.240650077501312,8133.158728657175,2.9779408528514755,65.11318204467852,556.7857947297811,133.35748607490493,1.0,2,70,892
1207.0183948829604,14575.74076607849,3818.721558661871,2.8428404196762367,8349.104324533593,1.4143746948005724,-63.87276634800358,711.4253332483624,111.82840974471836,1.0,2,88,757
976.625381043178,15289.546192577622,3469.1706773674628,1.7967128891661006,7956.306798231843,4.8593738519602265,178.38661191710312,549.8356069942212,109.63419537100992,1.0,3,99,233
1118.5466593660533,14484.450294381772,3364.0005908302714,0.8370296433185368,7308.854902222795,1.198528764245776,-93.2613770464855,765.0530381290874,115.7319596715038,1.0,2,95,700
916.4167667234234,15002.808422800636,3453.8051763534995,3.2520165157601646,7772.516608576308,2.6459576781126835,155.1023272443656,548.276319258381,121.36008175738162,1.0,1,81,82
1222.603533111342,14537.445798621346,3444.350292031845,0.6420790724384184,7510.808352281782,1.2510688136743622,-229.2431643908216,824.7552078452018,105.89850592425763,1.0,2,100,475
1019.6804982571568,14835.554043692457,3567.2124682330486,6.453041492624248,7938.236003670741,2.0810629572239296,144.1482473340796,499.5737453329901,151.05239602103453,1.0,1,98,560
916.2611712705228,15158.918548056748,3451.861910174093,2.419705021230829,7848.974030320295,1.9465718320447656,157.2011859911941,512.4537475751677,123.29719533352949,1.0,1,71,729
869.0520618941325,15510.310485483718,3645.605512926824,2.279707103729088,8481.67101196292,3.169829758042032,127.66166048420844,478.5115806746006,141.3888423038261,1.0,1,93,921
1000.3668417167702,15521.268174871891,3784.267488668479,1.874830225761392,8810.494580560866,3.05004910984611,20.65421448992712,550.1670028502716,111.61926501271016,1.0,2,74,943
957.3459323023848,15609.845465401666,3441.380274545096,6.863766206933558,8057.912140999574,2.7675862056139504,170.07758190631316,490.6789414534426,130.18944806533756,1.0,1,100,467
1125.470125233329,15141.70602569499,3817.994616951069,2.2536690488345443,8671.642814633853,2.717267163704802,-142.94811374912814,808.7290347873931,114.02894924233534,1.0,2,96,733
